"Topic","Numdoc","NumExperience","Biomass.Qty","Material.Qty","Glucose.rate.Min","Glucose.rate.Max","Glucose.yields.Min","Glucose.yields.Max","Reliability_min","Reliability_max","ReliabilityAverage","EfactorA95pourcent.Min","EfactorA95pourcent.Max","Efactor Average","Glucose Yield Average"
"pm-pc-ps","23","1","1","10","0.31","0.31","0.426","0.53","0.3","1","0.65","42.75","63.49","55.67","0.635"
"pm","28","1","1","0","0.46","0.46","0.235","0.245","0.2","1","0.6","6.995","7.76","7.36","0.26"
"pm-ufm","30","1","1","0","0.26","0.66","0.3","0.3","0.6","1","0.8","4.05","11.82","7.93","0.3"
"pm-pc_ufm-pc","31","1","1","20","0.31","0.31","0.78","0.94","0.3","1","0.65","71.07","85.85","78.46","0.86"
